codeCVM,issuingCompany,companyName,tradingName,cnpj,marketIndicator,typeBDR,dateListing,status,segment,segmentEng,type,market
917679,ADGE,ADMINISTRADORA GERAL DE ESTACIONAMENTOS S.A,ADM ESTACIO,86862208000135,99,,31/12/9999,A,Não Classificados,Not Classified,7,
900477,AECY,AEC CENTRO DE CONTATOS S/A,AEC CENTRO,2455233000104,99,,31/12/9999,A,Não Classificados,Not Classified,7,
23396,AEGP,AEGEA SANEAMENTO PARTICIPAÇÕES S.A.,AEGEA,8827501000158,8,,09/03/2023,A,Não Classificado,E,1,
25283,AERI,AERIS IND. E COM. DE EQUIP. GERACAO DE ENERGIA S/A,AERIS,12528708000107,18,,09/11/2020,A,Máq. e Equip. Industriais,Machines and Industrial Equipments,1,NM
909226,VRCP,AEROPORTOS BRASIL -  VIRACOPOS S.A.,VIRACOPOS,14522178000107,1,,31/12/9999,A,Não Classificados,Not Classified,7,
917252,AENB,AEROPORTOS DO NORDESTE DO BRASIL S.A.,AEROPORTOSDO,33919741000120,99,,31/12/9999,A,Não Classificados,Not Classified,7,
917471,AEAB,AES CAJUINA AB1 HOLDINGS S.A.,AES CAJUINA,45024644000158,99,,31/12/9999,A,Não Classificados,Not Classified,7,
913830,AHBR,AES HOLDINGS BRASIL S.A.,AES HOLD BR,5692190000179,1,,31/12/9999,A,Não Classificados,Not Classified,7,
900382,RNEP,AES TIETE EOLICA S.A,RENOVA EOLIC,11289590000130,99,,31/12/9999,A,Não Classificados,Not Classified,7,
915702,TCII,AES Tucano Holding II S.A.,AESTUCHOLDII,34623550000189,1,,31/12/9999,A,Não Classificados,Not Classified,7,
913434,AETE,AETE - AMAZONIA EMPRESA TRANSMISSORA DE ENERGIA,AETEAMAZONIA,6001492000116,1,,31/12/9999,A,Não Classificados,Not Classified,7,
900259,AFFX,AFFIX ADMINISTRACAO E SERVICOS LTDA,AFFIX,18769518000150,99,,31/12/9999,A,Não Classificados,Not Classified,7,
22179,AFLT,AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S/A,AFLUENTE T,10338320000100,1,,24/09/2010,A,Energia Elétrica,Electric Utilities,1,
917582,AFYA,AFYA PARTICIPAÇÕES S.A,AFYA PART SA,23399329000172,99,,31/12/9999,A,Não Classificados,Not Classified,7,
900012,APRO,AG PROPERTIES LTDA,AGPROPERTIES,47865412000158,99,,31/12/9999,A,Não Classificados,Not Classified,7,
917615,AGPT,AG-08 PARTICIPACOES S.A.,AG08PARTICIP,41899757000146,99,,31/12/9999,A,Não Classificados,Not Classified,7,
917561,AGEP,AGE ADMINISTRAÇÃO E PARTICIPAÇÕES S/A,AGE ADMINIST,35674418000169,99,,31/12/9999,A,Não Classificados,Not Classified,7,
914655,AGLT,AGEO LESTE S.A,AGEO LESTE S,17233151000192,1,,31/12/9999,A,Não Classificados,Not Classified,7,
911115,AGNN,AGEO NORTE TERMINAIS E ARMAZENS GERAIS S/A,AGEO NORTE,4272637000198,99,,31/12/9999,A,Não Classificados,Not Classified,7,
900118,AGEO,AGEO TERMINAIS E ARMAZENS GERAIS S/A,AGEO,3798096000173,1,,31/12/9999,A,Não Classificados,Not Classified,7,
900137,AGER,AGGER S.A. ,AGGER,585578000157,99,,31/12/9999,A,Não Classificados,Not Classified,7,
900167,AGPN,AGIPLAN FINANCEIRA S/A CREDITO FINANCIAMENTO E INV,AGIPLANCFI,13660104000174,1,,31/12/9999,A,Não Classificados,Not Classified,7,
916023,NOWS,AGORA SOL. EM TEC. DA INFORMACAO E COMUNICACAO SA,AGORATECNOLO,71923304000179,1,,31/12/9999,A,Não Classificados,Not Classified,7,
908913,UNLT,AGORACRED S/A SOCIEDADE DE CREDITO FINANCIAMENTO E,AGORACFI,36321990000107,1,,31/12/9999,A,Não Classificados,Not Classified,7,
914499,AGAL,AGRICOLA ALVORADA LTDA,AGRICOLA ALV,4854422000185,1,,31/12/9999,A,Não Classificados,Not Classified,7,
912709,AGTL,AGRO TALENT PARTICIPACOES S/A,AGRO TALENT,27664414000171,1,,31/12/9999,A,Não Classificados,Not Classified,7,
916205,AGML,AGROCERES MULTIMIX NUTRICAO ANIMAL LTDA,AGROCERESMUL,28622744000167,99,,21/12/2021,A,Não Classificados,Not Classified,7,
25658,AGXY,AGROGALAXY PARTICIPAÇÕES S.A.,AGROGALAXY,21240146000184,18,,23/07/2021,A,Agricultura,Agriculture,1,NM
909713,AGVL,AGROINDS DO VALE DO SAO FCO S/A-AGROVALE,AGROVALE,13642699000135,99,,31/12/9999,A,Não Classificados,Not Classified,7,
519715,AGVE,AGROINDUSTRIAL DE CEREAIS VERDES CAMPOS S.A.,VERDESCAMPOS,82253000151,7,,18/12/2013,A,Carga Inicial,Carga inicial,6,MB
900445,AONT,AGRONUTRI PARTICIPACOES S.A.,AGRONUTRI,55968005000102,99,,31/12/9999,A,Não Classificados,Not Classified,7,
915314,AJOT,AGROPASTORIL JOTABASSO LTDA.,AGROPASTORIL,87700746000196,1,,31/12/9999,A,Não Classificados,Not Classified,7,
519251,PNGU,AGROPECUARIA PINGUIM S.A.,AGRO PINGUIM,2671917000143,7,,22/08/2012,A,Carga Inicial,Carga inicial,6,MB
900134,AGND,AGROVIA DO NORDESTE S.A.,AGROVIA,18510603000107,1,,31/12/9999,A,Não Classificados,Not Classified,7,
911875,AULE,AGUA LIMPA ENERGIA S/A,AGUA LIMPA E,7321289000190,99,,31/12/9999,A,Não Classificados,Not Classified,7,
916175,AVTE,AGUA VERMELHA TRANSMISSORA DE ENERGIA S.A,AGUAVERMELHA,26855869000101,99,,08/12/2021,A,Não Classificados,Not Classified,7,
901421,CABC,AGUAS CUIABA S/A - CONCESSIONARIA DE SERVICOS PUBL,AGUASCUIABA,14995581000153,1,,31/12/9999,A,Não Classificados,Not Classified,7,
900099,AGIZ,ÁGUAS DA IMPERATRIZ S.A,AGUAS IMPERA,39523638000142,99,,31/12/9999,A,Não Classificados,Not Classified,7,
900421,ABSP,AGUAS DE BOMBINHAS SANEAMENTO SPE S.A. ,AGUA BOMBINH,26025075000110,99,,31/12/9999,A,Não Classificados,Not Classified,7,
900084,ACMB,AGUAS DE CAMBORIU SANEAMENTO SPE S.A.,CAMBORIUSPE,23397533000154,1,,31/12/9999,A,Não Classificados,Not Classified,7,
900182,AGOV,AGUAS DE GOVERNADOR VALADARES SPE S.A.,AGUAS VALAD,53667104000110,99,,31/12/9999,A,Não Classificados,Not Classified,7,
900142,AGNT,AGUAS DE NITEROI S.A.,NITEROI,2150336000166,1,,31/12/9999,A,Não Classificados,Not Classified,7,
916730,AANF,AGUAS DE NOVA FRIBURGO LTDA.,AGUASNOVAFRI,3119806000191,99,,27/01/2022,A,Não Classificados,Not Classified,7,
900455,AUCA,AGUAS DE PALHOCA S.A. ,AGUAS PALHOC,57341135000138,99,,31/12/9999,A,Não Classificados,Not Classified,7,
900324,APNH,AGUAS DE PENHA SANEAMENTO SPE S.A.,PENHASPE,23486042000180,1,,31/12/9999,A,Não Classificados,Not Classified,7,
900175,AGSF,AGUAS DE SAO FRANCISCO DO SUL SPE S.A.,AGUASSAOFRAN,21180700000185,1,,31/12/9999,A,Não Classificados,Not Classified,7,
900480,AUSP,AGUAS DE SINOP S A,SINOP,20930953000166,1,,31/12/9999,A,Não Classificados,Not Classified,7,
25615,GSTS,AGUAS DE TERESINA SANEAMENTO  SPE  S.A.,AGUASTERESIN,27157474000106,8,,01/03/2023,A,Não Classificados,Not Classified,1,
900183,AGTS,AGUAS DE TIMON SANEAMENTO S.A.,TIMONSAN,21716748000165,1,,31/12/9999,A,Não Classificados,Not Classified,7,
916722,AAIP,AGUAS DO IMPERADOR S.A.,AGUASIMPERAD,2150327000175,99,,27/01/2022,A,Não Classificados,Not Classified,7,
900159,AGPB,AGUAS DO PARAIBA S/A,AGUASPARAIBA,1280003000199,1,,31/12/9999,A,Não Classificados,Not Classified,7,
900528,AGPI,AGUAS DO PIAUI SPE S.A.,PIAUI SPE,58425324000151,99,,31/12/9999,A,Não Classificados,Not Classified,7,
26735,RISP,ÁGUAS DO RIO 1 SPE S.A.,AGUAS RIO 1,42310775000103,8,,30/06/2023,A,Não Classificados,Not Classified,1,
26743,RIS4,ÁGUAS DO RIO 4 SPE S.A.,AGUAS RIO 4,42644220000106,8,,30/06/2023,A,Não Classificados,Not Classified,1,
27359,ASER,ÁGUAS DO SERTÃO S.A.,AGUASSERTAO,45456117000112,8,,09/02/2024,A,Água e Saneamento,Water Utilities,1,
23442,GRRB,AGUAS GUARIROBA S.A.,GUARIROBA,4089570000150,8,,01/03/2023,A,Não Classificados,Not Classified,1,
917498,ABPS,ÁGUIA BRANCA PARTICIPAÇÕES S.A.,ÁGUIABRANCA,31469364000149,99,,31/12/9999,A,Não Classificados,Not Classified,7,
900507,AASC,AGUIA SECURITIZACAO DE RECEBIVEIS S/A ,AGUIA SECURI,36361221000132,99,,31/12/9999,A,Não Classificados,Not Classified,7,
914671,AK24,AK 24 EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,AK 24 EMPREE,13149157000125,1,,31/12/9999,A,Não Classificados,Not Classified,7,
916846,ACEN,ALBIOMA CODORA ENERGIA S.A.,ALBIOMAENERG,7966116000129,99,,31/12/9999,A,Não Classificados,Not Classified,7,
917502,ASOL,ALBIOMA SOLAR BRASIL LTDA,ALBIOMASOLA,46731060000185,99,,31/12/9999,A,Não Classificados,Not Classified,7,
913764,ABFR,ALCOESTE BIOENERGIA FERNANDÓPOLIS S.A.,ALCOESTE,43545284000104,1,,31/12/9999,A,Não Classificados,Not Classified,7,
917179,ACEL,ALDO COMPONENTES ELETRONICOS S/A,ALDOCOMPONEN,81106957000119,99,,31/12/9999,A,Não Classificados,Not Classified,7,
900209,ALES,ALESAT COMBUSTIVEIS  S/A,ALESAT,23314594000100,1,,31/12/9999,A,Não Classificados,Not Classified,7,
916130,ALEX,ALEX ENERGIA PARTICIPACOES S.A.,ALEXENERGIAP,31908068000105,1,,31/12/9999,A,Não Classificados,Not Classified,7,
9954,RPAD,ALFA HOLDINGS S.A.,ALFA HOLDING,17167396000169,1,,05/11/1970,A,Bancos,Banks,1,
900217,ALGC,ALGAR TECNOLOGIA E CONSULTORIA  S.A.,ALGAR,21246699000144,1,,31/12/9999,A,Não Classificados,Not Classified,7,
21032,ALGT,ALGAR TELECOM S/A,ALGAR TELEC,71208516000174,8,,27/07/2007,A,Telecomunicações,Telecommunications,1,
904102,GRCT,ALGAR TI CONSULTORIA S.A,ALGARTI,5510654000189,1,,31/12/9999,A,Não Classificados,Not Classified,7,
900225,ALGE,ALIANCA GERACAO DE ENERGIA S.A.,ALIANCA,12009135000105,99,,31/12/9999,A,Não Classificados,Not Classified,7,
910992,ATGP,ALIANCA TRANSPORTADORA DE GAS PARTICIPACOES S.A,ALIANCATRANS,28760485000130,1,,31/12/9999,A,Não Classificados,Not Classified,7,
917569,ASEO,ALISEO EMPREENDIMENTOS E PARTICIPACOES S.A.,ALISEO PART,46155662000131,99,,31/12/9999,A,Não Classificados,Not Classified,7,
24058,AALR,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,ALLIAR,42771949000135,18,,26/10/2016,A,Serv.Méd.Hospit..Análises e Diagnósticos,Med Hosp Serv. Anal and Diagnostics,1,NM
25330,ALLD,ALLIED TECNOLOGIA S.A.,ALLIED,20247322000147,18,,24/03/2021,A,Eletrodomésticos,Electronics and Household Appliance,1,NM
914200,ALAP,ALLONDA AMBIENTAL PARTICIPAÇÕES S.A.,ALLONDA AMBI,17718542000105,1,,31/12/9999,A,Não Classificados,Not Classified,7,
917362,AASN,ALLONDA AMBIENTAL SANEAMENTO S.A.,ALLONDAAMBIE,17894611000123,99,,31/12/9999,A,Não Classificados,Not Classified,7,
22357,ALOS,ALLOS S.A,ALLOS,5878397000132,18,,01/02/2011,A,Exploração de Imóveis,Real Estate,1,NM
24953,ALPK,ALLPARK EMPREENDIMENTOS PARTICIPACOES SERVICOS S.A,ESTAPAR,60537263000166,18,,13/05/2020,A,Serviços Diversos,Diversified Services,1,NM
80225,EXCO,ALMACENES EXITO S.A.,EXITO,23041875000137,14,DR2,04/04/2023,A,Alimentos,Food Retailers,2,DR2
900436,AENR,ALMADA ENERGIA RENOVAVEL S.A.,ALMADA ENERG,47238842000140,99,,31/12/9999,A,Não Classificados,Not Classified,7,
900241,ALMJ,ALMEIDA JUNIOR SHOPPING CENTERS S.A.,ALMEIDA,82120676000183,1,,31/12/9999,A,Não Classificados,Not Classified,7,
10456,ALPA,ALPARGATAS S.A.,ALPARGATAS,61079117000105,16,,11/04/1913,A,Calçados,Footwear,1,N1
25275,AVLL,ALPHAVILLE S.A.,ALPHAVILLE,16811931000100,18,,10/12/2020,A,Incorporações,Real Estate,1,NM
900472,AUSA,ALPHAVILLE URBANISMO S/A.,ALPHAVILLE U,446918000169,1,,31/12/9999,A,Não Classificados,Not Classified,7,
911123,ALSR,ALSOL ENERGIAS RENOVAVEIS S.A.,ALSOL,15483161000150,99,,31/12/9999,A,Não Classificados,Not Classified,7,
27030,ALTF,ALTHAIA S.A. INDÚSTRIA FARMACÊUTICA,ALTHAIA SA,48344725000719,8,,16/10/2024,A,Medicamentos e Outros Produtos,Pharmaceutical and Others Products,1,
900256,AERS,ALTO ENERGIA RENOVÁVEL S.A,ALTO ENERGIA,46614985000146,99,,31/12/9999,A,Não Classificados,Not Classified,7,
900266,ALUB,ALUBAM PARTICIPACOES S/A,ALUBAM,14327122000100,1,,31/12/9999,A,Não Classificados,Not Classified,7,
917461,ALMC,ALUBAR METAIS E CABOS S.A.,ALUBARMETAIS,8262121000113,99,,31/12/9999,A,Não Classificados,Not Classified,7,
521019,ALMZ,ALUMAZON COMPONENTES DA AMAZONIA S.A.,ALUMAZON,4955456000166,7,,02/12/2019,A,Carga Inicial,Carga inicial,6,MB
21490,ALUP,ALUPAR INVESTIMENTO S/A,ALUPAR,8364948000138,17,,02/04/2013,A,Energia Elétrica,Electric Utilities,1,N2
900274,ALUS,ALUSA ENGENHARIA S.A.,ALUSAENG,58580465000149,1,,31/12/9999,A,Não Classificados,Not Classified,7,
910398,CBLT,ALVOAR LACTEOS NORDESTE S/A,ALVOAR LACT,10483444000189,99,,31/12/9999,A,Não Classificados,Not Classified,7,
900282,AMPS,AMAM PARTICIPACOES SPE S.A.,AMAM,19165656000192,1,,31/12/9999,A,Não Classificados,Not Classified,7,
900035,AATA,AMATA  S.A.,AMATA,7909776000178,1,,31/12/9999,A,Não Classificados,Not Classified,7,
913301,AMTG,AMAZONAS GERAÇÃO E TRANSMISSÃO DE ENERGIA S.A.,AM GER TRANS,17957780000165,1,,31/12/9999,A,Não Classificados,Not Classified,7,
916862,AMSC,AMAZONIA SOLAR SEC. DE CREDITOS FINANCEIROS,AMAZONIA SOL,43102521000162,99,,31/12/9999,A,Não Classificados,Not Classified,7,
912170,AMBA,AMBAR ENERGIA LTDA,AMBARENERGIA,1645009000384,99,,31/12/9999,A,Não Classificados,Not Classified,7,
915983,ARUG,Ambar Uruguaiana Energia S.A.,AMBARURUGUAI,1600202000137,1,,31/12/9999,A,Não Classificados,Not Classified,7,
23264,ABEV,AMBEV S.A.,AMBEV S/A,7526557000100,1,,31/10/2013,A,Cervejas e Refrigerantes,Beer and Soft Drinks,1,
900040,AMTL,AMBIENTAL LIMPEZA URBANA E SANEAMENTO LTDA,AMB LIMPEZA,3094629000136,99,,31/12/9999,A,Não Classificados,Not Classified,7,
900364,AMTR,AMBIENTAL METROSUL CONCESSIONARIA DE SANEAMENTO SP,AMB METROSUL,36641320000178,99,,31/12/9999,A,Não Classificados,Not Classified,7,
914663,AMMS,AMBIENTAL MS PANTANAL SPE S.A,AMBIENTAL MS,40074069000184,1,,31/12/9999,A,Não Classificados,Not Classified,7,
916338,ABPA,AMBIENTAL PARTICIPACOES S.A.,AMBIENTALPAR,38138329000196,99,,22/12/2021,A,Não Classificados,Not Classified,7,
24961,AMBP,AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S/A,AMBIPAR,12648266000124,18,,02/07/2020,A,Água e Saneamento,Water Utilities,1,NM
914077,ANET,AMERICA NET S.A.,AMERICA NET,1778972000174,99,,31/12/9999,A,Não Classificados,Not Classified,7,
917658,ATBR,AMERICAN TOWER DO BRASIL - CESSAO DE INFRAESTRUTUR,AMER TOWER,4052108000189,99,,31/12/9999,A,Não Classificados,Not Classified,7,
20990,AMER,AMERICANAS S.A,AMERICANAS,776574000156,18,,26/07/2007,A,Produtos Diversos,Diversified Retailers,1,NM
3050,CBEE,AMPLA ENERGIA E SERVICOS S.A.,AMPLA ENERG,33050071000158,1,,06/03/1969,A,Energia Elétrica,Electric Utilities,1,
914051,ANDA,ANDALI AS,ANDALIAS,2227264000108,1,,31/12/9999,A,Não Classificados,Not Classified,7,
900316,ANDH,ANDORINHA ENERGIAS RENOVAVEIS S/A,ANDORINHA,17613512000126,1,,31/12/9999,A,Não Classificados,Not Classified,7,
912535,CANT,ANDRADE GUTIERREZ PARTICIPACOES S.A.,AGPART,4031960000170,1,,29/10/2001,A,Holdings Diversificadas,Holdings - Diversified,7,
900191,AGUT,ANDRADE GUTIERREZ S/A,AGUTIERREZ,17262197000130,1,,31/12/9999,A,Não Classificados,Not Classified,7,
26832,ANEM,ANEMUS WIND HOLDING S.A.,ANEMUS WIND,38482780000126,8,,08/06/2022,A,Energia Elétrica,Electric Utilities,1,
917517,AGEM,ANGULO45 EMPREENDIMENTOS S.A,ANGULO45 EMP,39435090000189,99,,31/12/9999,A,Não Classificados,Not Classified,7,
900288,AEDU,ANHANGUERA EDUCACIONAL PARTICIPACOES S.A,ANHANGUERA,4310392000146,99,,31/12/9999,A,Não Classificados,Not Classified,7,
23248,ANIM,ANIMA HOLDING S.A.,ANIMA,9288252000132,18,,24/10/2013,A,Serviços Educacionais,Education Services,1,NM
917522,AOVS,AOVS SISTEMAS DE INFORMÁTICA S.A.,AOVSSISTEMA,5555382000133,99,,31/12/9999,A,Não Classificados,Not Classified,7,
909697,ACES,APERAM INOX AMERICA DO SUL S.A.,APERAM,33390170000189,1,,31/12/9999,A,Siderurgia,Steel,7,
914531,APOL,APOLLO 17 PARTICIPACOES S.A,APOLLO 17,37606330000135,1,,31/12/9999,A,Não Classificados,Not Classified,7,
914325,ASPF,APSEN FARMACEUTICA S.A.,APSEN FARMA,62462015000129,1,,31/12/9999,A,Não Classificados,Not Classified,7,
917507,AFOZ,AQUA-FOZ AQUÁRIO DE FOZ DO IGUAÇU S.A.,AQUAFOZAQU,42651953000160,99,,31/12/9999,A,Não Classificados,Not Classified,7,
900027,AARJ,AQUA-RIO AQUARIO MARINHO DO RIO DE JANEIRO S/A,AQUARIO,19624745000150,1,,31/12/9999,A,Não Classificados,Not Classified,7,
900357,ARSN,ARAUCARIA SANEAMENTO S/A,ARAUCARIA,12049167000126,1,,31/12/9999,A,Não Classificados,Not Classified,7,
915967,INSU,Arco Insuretech S.A.,ARCOINSURETE,43751004000114,1,,31/12/9999,A,Não Classificados,Not Classified,7,
912063,ARSP,ARCOS SANEAMENTO E PARTICIPACOES LTDA,ARCOS SANEAM,29291541000106,99,,31/12/9999,A,Não Classificados,Not Classified,7,
910448,ARCV,ARCOVERDE TRANSMISSÃO DE ENERGIA S.A.,ARCOVERDE,28008887000183,1,,31/12/9999,A,Não Classificados,Not Classified,7,
911883,AREG,AREIA ENERGIA S/A,AREIAENERGIA,7321320000192,99,,31/12/9999,A,Não Classificados,Not Classified,7,
914473,ARPR,ARES 2 PARTICIPAÇÕES S.A.,ARES 2 PARTI,27317154000168,99,,31/12/9999,A,Não Classificados,Not Classified,7,
914085,ARON,ARES ONE PARTICIPACOES S.A.,ARES ONE PAR,38350319000110,99,,31/12/9999,A,Não Classificados,Not Classified,7,
917580,AGBP,ARGEB ENERGIA EMPREENDIMENTOS E PARTICIPACOES S.A.,ARGEB,47680198000165,99,,31/12/9999,A,Não Classificados,Not Classified,7,
24120,AEEP,ARGO ENERGIA EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,ARGO ENERGIA,24624551000194,8,,17/03/2023,A,Não Classificado,E,1,
24210,TRGO,ARGO TRANSMISSAO DE ENERGIA S.A.,ARGOTRANSM,24624490000165,8,,01/03/2023,A,Não Classificado,E,1,
26662,ARGV,ARGO V TRANSMISSAO DE ENERGIA SA,ARGOVTRANS,20514590000188,8,,08/10/2024,A,Energia Elétrica,Electric Utilities,1,
26670,SPRZ,ARGO VI TRASMISSAO DE ENERGIA SA,ARGOVITRANS,20514555000169,8,,08/10/2024,A,Energia Elétrica,Electric Utilities,1,
26654,TJMM,ARGO VII TRANSMISSÃO DE ENERGIA S.A.,ARGOTRANSVII,21728083000100,8,,08/10/2024,A,Energia Elétrica,Electric Utilities,1,
917654,ARKL,ARKLOK  EQUIPAMENTOS DE INFORMÁTICA S.A,ARKLOK,10489713000114,99,,31/12/9999,A,Não Classificados,Not Classified,7,
26069,ARML,ARMAC LOCAÇÃO. LOGÍSTICA E SERVIÇOS S.A.,ARMAC,242184000104,18,,26/07/2021,A,Máq. e Equip. Industriais,Machines and Industrial Equipments,1,NM
900308,AMTE,ARMAZEM MATEUS S.A.,ARMAZEMMATEU,23439441001323,99,,31/12/9999,A,Não Classificados,Not Classified,7,
900332,ARMB,ARMCO DO BRASIL S.A.,ARMCO,71586952000187,99,,31/12/9999,A,Não Classificados,Not Classified,7,
900340,ARQU,ARTECOLA QUIMICA S.A.,ARTECOLA,44699346000103,1,,31/12/9999,A,Não Classificados,Not Classified,7,
911966,ARTP,ARTEON Z TRANSMISSAO E PARTICIPACOES S/A,ARTEON Z S/A,32711933000183,99,,31/12/9999,A,Não Classificados,Not Classified,7,
19771,ARTR,ARTERIS S.A.,ARTERIS,2919555000167,8,,01/03/2023,A,Exploração de Rodovias,Toll Roads and Highways,1,
910489,CPNB,ARTHUR LUNDGREN TECIDOS S.A. - CASAS PERNAMBUCANAS,ARTHURLUNDG,61099834000190,99,,31/12/9999,A,Não Classificados,Not Classified,7,
26514,ASAB,ASA BRANCA HOLDING S.A.,ASABRANCAH,9359927000197,8,,30/10/2014,A,Energia Elétrica,Electric Utilities,1,
911693,ASIC,ASA INDUSTRIA E COMERCIO LTDA,ASA,1551272000142,99,,31/12/9999,A,Não Classificados,Not Classified,7,
900114,0HBV,ASAP COMÉRCIO DE MÁQUINAS E VEÍCULOS LTDA,ASAP,20716823000125,99,,31/12/9999,A,Não Classificados,Not Classified,7,
913962,ASCS,ASCENSUS GESTÃO E PARTICIPACOES S.A,ASCENSUS GES,12561807000182,1,,31/12/9999,A,Não Classificados,Not Classified,7,
917464,ASCV,ASCENSUS TV PAR SPE S.A.,ASCENSUS TV,44121917000110,99,,31/12/9999,A,Não Classificados,Not Classified,7,
900365,ASCY,ASCENTY DATA CENTERS E TELECOMUNICACOES S/A,ASCENTYSA,13743550000142,99,,31/12/9999,A,Não Classificados,Not Classified,7,
900201,ASSR,ASSURUÁ 5 ENERGIA S.A.,ASSURUÁ 5,38286323000166,99,,31/12/9999,A,Não Classificados,Not Classified,7,
916585,AISA,ASTER INVESTIMENTOS S.A.,ASTER INVEST,42113253000111,99,,06/01/2022,A,Não Classificados,Not Classified,7,
916320,ASTP,ASTIC IE PARTICIPACOES S.A.,ASTICIEPARTI,33824575000188,99,,31/12/9999,A,Não Classificados,Not Classified,7,
900038,AERE,ASTURIAS ENERGIA RENOVAVEL S.A. ,ASTURIAS,47239287000170,99,,31/12/9999,A,Não Classificados,Not Classified,7,
